county,state,title,latitude,longitude,date,number,classification,geohash,temperature_high,temperature_mid,temperature_low,dew_point,humidity,cloud_cover,moon_phase,precip_intensity,precip_probability,precip_type,pressure,summary,uv_index,visibility,wind_bearing,wind_speed
Valdez-Chitina-Whittier County,Alaska,,,,,1261.0,Class A,,,,,,,,,,,,,,,,,
York County,Pennsylvania,,,,,8000.0,Class B,,,,,,,,,,,,,,,,,
Yamhill County,Oregon,,,,,703.0,Class B,,,,,,,,,,,,,,,,,
Washita County,Oklahoma,Report 9765: Motorist and children have daylight sighting near Burns Flat.,35.3011,-99.1702,1973-09-28,9765.0,Class A,9y32z667yc,72.55,63.225,53.9,50.86,0.73,0.16,0.07,0.0,0.0,,1017.29,Partly cloudy starting in the afternoon.,6.0,10.0,263.0,8.15
Washington County,Ohio,Report 4983: Sighting and vocalizations at a home in Wayne National Forest,39.38745,-81.67339,1971-08-01,4983.0,Class A,dpjbj6r280,76.32,70.44,64.56,62.45,0.82,0.86,0.32,0.0006,0.21,rain,1022.74,Mostly cloudy throughout the day.,6.0,4.97,156.0,3.02
Wayne County,New York,"Report 26566: Man observes tall, white hair-covered creature during a family gathering near Lake Ontario",43.27314000000001,-76.89331,2003-09-20,26566.0,Class A,dr9q4m8h21,67.62,58.16,48.7,54.06,0.75,0.48,0.81,0.0006,0.21,rain,1020.75,Partly cloudy until evening.,4.0,9.53,253.0,8.73
Washoe County,Nevada,Report 5692: Father and son hear vocalizations on Peavine Mt,39.592,-119.975,1970-09-01,5692.0,Class B,9r49jzsb5g,88.56,70.22,51.88,43.89,0.42,0.0,0.02,0.0,0.0,,1011.96,Clear throughout the day.,9.0,9.76,197.0,1.96
Warren County,New Jersey,,,,,438.0,Class B,,,,,,,,,,,,,,,,,
Sullivan County,New Hampshire,Report 55269: Dawn sighting at Stevens Brook outside Claremont,43.41549000000001,-72.33093000000002,2016-06-07,55269.0,Class A,drswfpd1x1,75.83,65.75,55.67,54.25,0.73,0.22,0.1,0.0057,0.3,rain,999.41,Rain in the evening.,8.0,9.47,234.0,2.47
Saunders County,Nebraska,"Report 6410: Multiple witness sighting at night, 3 miles east of Mead, Nebraska",41.2333,-96.42668,1979-07-04,6410.0,Class B,9z76tf21rs,73.55,68.565,63.58,66.52,0.82,0.96,0.32,0.0155,0.78,rain,1014.8,Rain in the morning and afternoon.,6.0,6.49,63.0,8.17
Ward County,North Dakota,Report 751: Hunter describes described being stalked near Minot,48.25422,-101.3166,2000-04-21,751.0,Class A,c8xfw2rt0n,79.1,59.085,39.07,30.46,0.31,0.3,0.6,0.0,0.0,,1011.97,Partly cloudy until evening.,5.0,9.48,235.0,9.79
Yancey County,North Carolina,Report 3339: Deep impressions seen in the snow,35.74875,-82.26195,1988-03-15,3339.0,Class B,dnme25fetd,35.65,30.035,24.42,10.97,0.49,0.46,0.91,0.0002,0.23,snow,1015.08,Partly cloudy throughout the day.,6.0,9.37,322.0,10.39
Silver Bow County,Montana,Report 1757: Two separate sets of large footprints found,46.05292,-112.571,1988-12-15,1757.0,Class B,c2pvyrsm9w,19.43,11.16,2.89,3.96,0.73,0.22,0.23,0.0,0.0,,1041.91,"Partly cloudy starting in the afternoon, continuing until evening.",1.0,9.99,216.0,3.29
Tishomingo County,Mississippi,Report 13494: Sundown sighting near Tishomingo State Park,34.60905,-88.19894000000002,2006-01-05,13494.0,Class A,dn1kburkrd,51.42,43.535,35.65,33.86,0.68,0.43,0.21,0.0,0.0,,1016.63,Partly cloudy throughout the day.,2.0,9.04,342.0,9.13
Wayne County,Missouri,Report 27261: Couple witness rocks thrown and possible vocalizations between two animals on either side of a fishing dock near Williamsville,36.57869,-90.21339,2007-11-18,27261.0,Class B,9yxb54uw7d,64.8,61.935,59.07,45.96,0.79,0.45,0.28,0.0,0.0,,1019.67,Mostly cloudy starting in the afternoon.,2.0,7.16,112.0,2.6
Washington County,Missouri,Report 1158: Child encounters a man-like creature in a shed.,38.039,-90.7517,1956-10-15,1158.0,Class A,9yz2quu9hp,81.64,70.22,58.8,52.63,0.57,0.65,0.37,0.0,0.0,,1021.42,Mostly cloudy throughout the day.,3.0,9.82,175.0,6.51
Washington County,Missouri,Report 30159: Recollection of a possible nighttime encounter on a four-wheeler near Sullivan,38.11468,-91.06547,1989-11-18,30159.0,Class B,9yz0zf84he,40.9,36.305,31.71,14.35,0.48,0.23,0.7,0.0,0.0,,1026.39,Partly cloudy until afternoon.,2.0,9.47,293.0,0.96
Wayne County,Missouri,Report 27800: Large unknown animal on all fours seen crossing a road near Patterson,37.18847,-90.52135,2010-05-25,27800.0,Class B,9yxes1uqe9,86.2,76.61,67.02,65.98,0.76,0.11,0.43,0.0018,0.34,rain,1015.83,Clear throughout the day.,11.0,7.79,119.0,1.68
Tishomingo County,Mississippi,Report 39764: Possible night screams heard near Burnsville,34.735,-88.26655,2013-02-16,39764.0,Class B,dn1jx7q603,40.01,31.41,22.81,18.8,0.55,0.29,0.22,0.0,0.0,,1022.78,Partly cloudy until evening.,3.0,9.9,330.0,7.37
Silver Bow County,Montana,Report 25662: Hiker spots a bigfoot in the mountains east of Butte,45.9754,-112.4554,2007-08-15,25662.0,Class A,c80j9186p7,87.61,69.43,51.25,29.09,0.32,0.09,0.09,0.0025,0.84,rain,1015.38,Clear throughout the day.,8.0,4.32,86.0,0.4
Yancey County,North Carolina,Report 30860: Daylight sighting by camper at Black Mountain Campground near Blue Ridge Parkway,35.75278,-82.22121,2011-08-21,30860.0,Class A,dnme3h874c,84.9,76.275,67.65,67.54,0.81,0.32,0.74,0.0049,0.22,rain,1014.78,Light rain in the evening.,9.0,7.25,247.0,2.21
Warren County,New Jersey,Report 13276: Motorist has nightime sighting near Harmony,40.76345,-75.11044,2005-12-21,13276.0,Class B,dr4xfuf0rc,30.45,26.745,23.04,13.72,0.63,0.35,0.69,0.0,0.0,,1021.6,Mostly cloudy starting in the afternoon.,2.0,9.47,265.0,6.49
Warren County,New Jersey,Report 17550: Nighttime sighting by motorist near Mansfield,40.8192,-74.85561,2007-03-31,17550.0,Class A,dr6b0wgv1f,54.28,47.155,40.03,22.95,0.43,0.44,0.44,0.0015,0.79,rain,1023.39,Partly cloudy throughout the day.,5.0,9.84,76.0,2.78
Warren County,New Jersey,,,,,27743.0,Class A,,,,,,,,,,,,,,,,,
Warren County,New Jersey,Report 49883: Recollection of a possible late night stalking on Waterloo Road in Allamuchy,40.89452,-74.79077,2015-10-02,49883.0,Class B,dr6bdhe5be,51.18,49.13,47.08,44.65,0.81,0.36,0.67,0.0164,0.82,rain,1022.25,Light rain starting in the afternoon and breezy in the evening.,2.0,8.63,42.0,12.24
Taos County,New Mexico,Report 4904: Professor and students discover series of large footprints crossing high mountain trail,36.599,-105.4113,2000-05-17,4904.0,Class B,9wt01q9uds,63.61,47.77,31.93,15.31,0.23,0.18,0.48,0.0,0.0,,1001.39,Breezy until evening.,14.0,9.96,261.0,15.27
Taos County,New Mexico,"Report 16207: Possible vocalizations, knocks heard by hunters in the Gallegos peak area",36.19625,-105.5596,2006-10-02,16207.0,Class B,9wkvvvmf7n,74.57,60.215,45.86,26.49,0.31,0.04,0.34,0.0,0.0,,1016.05,Clear throughout the day.,7.0,10.0,247.0,2.52
Taos County,New Mexico,,,,,26460.0,Class A,,,,,,,,,,,,,,,,,
Taos County,New Mexico,Report 28886: Couple driving home has night time sighting near Tres Piedras,36.65339,-105.9678,2011-02-20,28886.0,Class A,9ws8s8s97r,33.17,21.325000000000006,9.48,14.86,0.61,0.69,0.59,0.0021,0.98,snow,1004.69,Light snow (< 1 in.) in the morning and evening and breezy until afternoon.,4.0,8.52,249.0,12.76
Washoe County,Nevada,Report 5697: Three boys encounter sasquatch in eroded terrain,39.679,-119.6665,1972-08-15,5697.0,Class A,9r4cszmdbm,74.49,58.42999999999999,42.37,26.36,0.29,0.41,0.21,0.0,0.0,,1014.1,Partly cloudy starting in the afternoon.,9.0,9.68,248.0,3.23
Washoe County,Nevada,Report 5770: Four feral dogs chase sasquatch,39.679,-119.6665,1972-08-25,5770.0,Class B,9r4cszmdbm,85.33,66.81,48.29,31.92,0.31,0.0,0.53,0.0,0.0,,1012.33,Clear throughout the day.,9.0,10.0,43.0,1.54
Washington County,Ohio,"Report 3180: Early evening sighting by two children, near Layman",39.40877,-81.73172,1978-07-04,3180.0,Class A,dpjbhnhu8z,71.53,66.82,62.11,61.85,0.82,0.99,0.97,0.0003,0.31,rain,1014.71,Overcast throughout the day.,6.0,4.09,357.0,5.36
Washington County,Ohio,Report 7220: A man relates a series of occurrences on the family farm involving an upright walking hair covered creature,39.54739,-81.39101,1978-11-01,7220.0,Class A,dpn0gzkuhp,58.56,45.375,32.19,39.42,0.76,0.22,0.03,0.0,0.0,,1025.79,Partly cloudy until afternoon.,2.0,6.18,2.0,3.37
Washington County,Ohio,Report 4073: White hair covered creature seen at the edge of a cornfield,39.46019,-81.54855,1984-07-04,4073.0,Class A,dpn02rd0m0,76.01,72.325,68.64,63.92,0.75,0.88,0.2,0.0096,0.63,rain,1012.61,Rain starting in the evening.,6.0,4.92,198.0,7.61
Washington County,Ohio,Report 7085: Three boys playing games witness a huge creature walking through their front yard,39.3731,-81.65929,1990-07-01,7085.0,Class A,dnvzvz9sbt,80.08,68.455,56.83,64.22,0.75,0.57,0.3,0.0042,0.27,rain,1012.38,Partly cloudy until evening.,7.0,6.85,324.0,5.25
Washington County,Ohio,Report 26830: Group finds possible Bigfoot track in Wayne National Forest - w/photos of track and cast,39.42635,-81.37085,2009-10-31,26830.0,Class B,dpn0k37e1u,60.8,47.195,33.59,47.65,0.76,0.74,0.42,0.0135,0.88,rain,1010.92,Light rain in the morning.,2.0,8.83,222.0,7.59
York County,Pennsylvania,,,,,3572.0,Class B,,,,,,,,,,,,,,,,,
Vernon County,Missouri,Report 31201: Night road crossing observed near El Dorado Springs,37.85524,-94.11218,2011-11-22,31201.0,Class A,9ytp67mdg2,47.87,43.19,38.51,42.23,0.92,0.95,0.91,0.0109,0.93,rain,1017.3,Rain in the morning.,1.0,6.09,335.0,6.03
Texas County,Missouri,Report 27341: Childhood memory of a figure filling the window of her home near Evening Shade,37.5656,-92.1426,1977-03-15,27341.0,Class B,9ywmxnxg3z,65.51,50.24500000000001,34.98,42.48,0.59,0.27,0.87,0.0,0.0,,1013.72,Partly cloudy until evening.,4.0,7.97,288.0,6.87
Taney County,Missouri,Report 41427: Memory told of a nighttime close encounter in the Henning Conservation Area near Branson,36.66887,-93.29459,1994-08-23,41427.0,Class A,9yt8t52gwk,83.79,74.19,64.59,61.44,0.69,0.38,0.58,0.0,0.0,,1018.18,Partly cloudy until evening.,7.0,9.54,162.0,6.02
Stone County,Missouri,Report 15075: School teacher remembers his close encounter with a sasquatch while hunting near Cape Fair,36.67065,-93.65774,1975-07-15,15075.0,Class A,9yt2sg8w02,86.86,74.745,62.63,59.0,0.61,0.29,0.24,0.0,0.0,,1020.33,Partly cloudy starting in the afternoon.,9.0,9.36,157.0,6.51
Stoddard County,Missouri,Report 27410:  Man recalls his brief daylight sighting outside Bloomfield,36.87593,-89.86899,1986-01-14,27410.0,Class A,dn81fcp3ug,50.95,36.35,21.75,23.77,0.59,0.27,0.15,,,snow,1018.78,Partly cloudy until evening.,2.0,8.97,303.0,3.31
Ste. Genevieve County,Missouri,"Report 1150: Ape-like creature seen by a motorist crossing the road and enter a wooded area near Ozora, Missouri",37.8602,-90.0329,2000-05-31,1150.0,Class A,9yxzrk0p9k,89.05,78.025,67.0,66.04,0.67,0.15,0.93,0.0,0.0,,1016.76,Partly cloudy in the morning.,10.0,9.32,186.0,7.67
St. Louis County,Missouri,Report 23836: Several incidents experienced by father and son outside St. Louis,38.73802,-90.53249,1976-10-20,23836.0,Class A,9yzs7uh324,46.12,39.585,33.05,34.87,0.79,0.66,0.9,0.0003,0.71,rain,1020.91,Mostly cloudy until evening.,2.0,6.21,294.0,8.54
St. Francois County,Missouri,Report 36838: Man returns home at night to find a tall figure standing by his deer lick outside Farmington,37.40025,-90.23058,2012-10-15,36838.0,Class A,9yxufb805p,72.37,60.73,49.09,46.13,0.69,0.02,0.01,0.0,0.0,,1015.0,Clear throughout the day.,4.0,9.57,276.0,2.6
St. Clair County,Missouri,"Report 1148: Family camping encounter large, fur covered creature. Footprints are discovered at the campsite",37.9939,-93.8794,1977-08-15,1148.0,Class A,9yv0psx4e2,90.39,82.05,73.71,70.0,0.76,0.35,0.02,0.0,0.0,,1016.44,Humid and partly cloudy throughout the day.,8.0,7.53,154.0,4.67
St. Charles County,Missouri,Report 1356: Husband and wife observe sasquatch at river's edge,38.655,-90.675,1976-08-01,1356.0,Class A,9yzebsumxq,79.26,71.545,63.83,54.09,0.62,0.33,0.2,0.0,0.0,,1018.93,Mostly cloudy throughout the day.,8.0,9.41,23.0,7.93
